Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
4 Bedroom House,Pritoria,Nieuw Muckleneuk,4,2.5,,,R 26 000
4 Bedroom Townhouse,Pritoria,Equestria,4,3.5,4,236 m²,R 23 998
2 Bedroom Apartment,Pritoria,Mooikloof Glen,2,2,2,105 m²,R 9 500
4 Bedroom House,Pritoria,Magalieskruin,4,2,2,69 m²,R 17 500
3 Bedroom House,Pritoria,Silverton,3,1,2,57 m²,R 10 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 6 615
2 Bedroom Apartment,Pritoria,Montana,2,2,2,,R 8 250
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,,R 16 500
4 Bedroom House,Pritoria,Magalieskruin,4,2,2,,R 17 500
1 Bedroom Apartment,Pritoria,Pretoria West,1,1,1,,R 4 500
2 Bedroom Apartment,Pritoria,Equestria,2,2,2,,R 10 500
4 Bedroom House,Pritoria,Danville,4,1,3,,R 18 000
0.5 Bedroom Apartment,Pritoria,Capital Park,0.5,1,1,,R 3 940
2 Bedroom Apartment,Pritoria,Willow Park,2,2,2,,R 9 000
1.5 Bedroom Apartment,Pritoria,Sunnyside,1.5,1,1,,R 5 000
2 Bedroom Townhouse,Pritoria,Montana,2,1,1,,R 8 500
1.5 Bedroom Apartment,Pritoria,Arcadia,1.5,1,2,,R 6 500
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,3,,R 10 000
Townhouse,Pritoria,Olympus AH,3,2,2,,R 19 800
3 Bedroom Townhouse,Pritoria,Brooklyn,4,3,,,R 20 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,2,,,R 39 000
2 Bedroom Apartment,Pritoria,Hatfield,,,,,R 7 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,64 m²,R 7 500
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,64 m²,R 14 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,64 m²,R 14 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,32 m²,R 14 000
3 Bedroom House,Pritoria,Eastwood,3,2.5,6,58 m²,R 25 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,8,60 m²,R 3 950
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3.5,1,,R 75 000
1 Bedroom Apartment,Pritoria,Equestria,1,1,1,,R 9 000
1 Bedroom House,Pritoria,Parktown Estate,1,1,5,,R 6 000
4 Bedroom House,Pritoria,Waterkloof,4,4,8,,R 48 000
5 Bedroom House,Pritoria,Waterkloof Ridge,5,5,4,,R 99 000
3 Bedroom House,Pritoria,Doornpoort,3,3,1,,R 16 000
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,6,,R 9 990
Apartment,Pritoria,Moregloed,0.5,1,1,,R 10 700
0.5 Bedroom Apartment,Pritoria,Sunnyside,4,3.5,4,,R 3 900
4 Bedroom House,Pritoria,Pretoria North,1,1,1,,R 25 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,1,2,,R 11 000
3 Bedroom House,Pritoria,Gezina,1,1,1,,R 13 800
1 Bedroom Apartment,Pritoria,Waterkloof,3,2,,,R 10 990
3 Bedroom House,Pritoria,Derdepoort,2,2,,,R 24 500
2 Bedroom Apartment,Pritoria,Montana,,,,,R 8 900
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,800 m²,R 13 950
3 Bedroom Townhouse,Pritoria,Equestria,3,2,3,77 m²,R 16 800
3 Bedroom House,Pritoria,Alphen Park,3,3,6,90 m²,R 50 000
1 Bedroom Apartment,Pritoria,Wonderboom,1,1,1,65 m²,R 5 500
3 Bedroom House,Pritoria,Queenswood,3,2,3,74 m²,R 17 080
2 Bedroom Townhouse,Pritoria,Menlo Park,2,2.5,2,59 m²,R 26 000
1 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,1,1,2,58 m²,R 17 000
2 Bedroom Apartment,Pritoria,Willow Park Manor,2,2,2,117 m²,R 10 200
2 Bedroom Apartment,Pritoria,Mountain View,2,1,1,56 m²,R 7 500
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3,3,44 m²,R 130 000
3 Bedroom House,Pritoria,Queenswood,3,2,3,79 m²,R 17 080
1 Bedroom House,Pritoria,Brooklyn,1,1,1,,R 5 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 8 500
2 Bedroom Apartment,Pritoria,Willow Park Manor,2,1,2,,R 9 500
3 Bedroom Apartment,Pritoria,Waterkloof,3,2.5,2,,R 20 800
1 Bedroom Apartment,Pritoria,Menlyn,1,1,2,,R 24 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 8 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,,R 13 800
2 Bedroom Apartment,Pritoria,Waterkloof,2,1,1,,R 23 990
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 5 940
2 Bedroom Townhouse,Pritoria,Faerie Glen,2,1,2,,R 9 000
Townhouse,Pritoria,Montana,4,2,10,45 m²,R 14 000
4 Bedroom Apartment,Pritoria,Die Wilgers,4,2,5,76 m²,R 4 300
4 Bedroom House,Pritoria,Pretoria North,4,4,8,64 m²,R 14 300
4 Bedroom House,Pritoria,Woodhill Golf Estate,2,2,1,65 m²,R 50 000
2 Bedroom Townhouse,Pritoria,Willow Park Manor,3,2,4,42 m²,R 11 500
3 Bedroom House,Pritoria,Muckleneuk,0.5,1,1,85 m²,R 18 000
0.5 Bedroom Apartment,Pritoria,Magalieskruin,0.5,1,1,,R 7 700
0.5 Bedroom Apartment,Pritoria,Magalieskruin,2,1,1,,R 7 700
2 Bedroom Apartment,Pritoria,Elandspoort,3,2,3,,R 6 500
3 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,4,3.5,2,,R 12 500
4 Bedroom Townhouse,Pritoria,Montana Tuine,2,2,1,,R 28 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,1,2,,R 14 000
2 Bedroom Townhouse,Pritoria,Erasmuskloof,1,1,1,,R 8 000
1 Bedroom Apartment,Pritoria,Waterkloof,2,2,2,,R 10 990
2 Bedroom Apartment,Pritoria,Brooklyn,5,3,3,,R 13 000
5 Bedroom House,Pritoria,Waterkloof Ridge,4,3,1,,R 75 000
4 Bedroom House,Pritoria,Waverley,0.5,1,1,,R 16 500
0.5 Bedroom Apartment,Pritoria,Montana,1,1,1,,R 5 000
1 Bedroom Apartment,Pritoria,Montana Park,1,1,1,,R 6 500
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,,,R 18 990
1 Bedroom Apartment,Pritoria,Menlo Park,,,,,R 17 500
2 Bedroom Apartment,Pritoria,Arcadia,2,2,1,43 m²,R 12 000
1 Bedroom Apartment,Pritoria,Capital Park,1,2,1,9 m²,R 3 000
3 Bedroom House,Pritoria,Andeon,3,1,1,62 m²,R 7 910
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,92 m²,R 5 500
2 Bedroom Apartment,Pritoria,Arcadia,2,1.5,1,103 m²,R 7 250
1 Bedroom Apartment,Pritoria,Ashlea Gardens,1,1,1,25 m²,R 16 500
2 Bedroom Apartment,Pritoria,Villieria,2,1,1,99 m²,R 8 600
1 Bedroom Apartment,Pritoria,Garsfontein,1,2,2,25 m²,R 6 800
2 Bedroom Apartment,Pritoria,Brooklyn,2,1,1,85 m²,R 16 900
1 Bedroom Apartment,Pritoria,Colbyn,1,1,2,263 m²,R 7 150
1 Bedroom Apartment,Pritoria,Waterkloof,1,2,5,,R 18 990
4 Bedroom House,Pritoria,Waterkloof Ridge,4,1,2,,R 40 000
1.5 Bedroom Apartment,Pritoria,Sunnyside,1.5,3.5,1,,R 5 000
4 Bedroom House,Pritoria,Waterkloof,4,1,6,,R 70 000
1 Bedroom Apartment,Pritoria,Hazelwood,1,1,2,,R 15 900
1 Bedroom Apartment,Pritoria,Waterkloof,1,2,4,,R 18 990
2 Bedroom Apartment,Pritoria,Olympus AH,2,4,2,,R 12 320
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,3.5,,,R 50 000
4 Bedroom Apartment,Pritoria,Groenkloof,4,2,,,R 26 000
3 Bedroom House,Pritoria,Die Wilgers,3,1,,,R 14 800
2 Bedroom Townhouse,Pritoria,Annlin,2,,,,R 8 600
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,40 m²,R 9 000
4 Bedroom House,Pritoria,Moreleta Park,4,2,8,310 m²,R 24 900
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,59 m²,R 8 500
3 Bedroom Townhouse,Pritoria,Lynnwood Glen,3,2,2,38 m²,R 20 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,64 m²,R 11 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,112 m²,R 9 500
2 Bedroom Apartment,Pritoria,Sunnyside,2,1,1,96 m²,R 6 750
1 Bedroom Apartment,Pritoria,Garsfontein,1,1,1,202 m²,R 6 500
2 Bedroom House,Pritoria,Parktown Estate,2,1,4,,R 6 300
6 Bedroom House,Pritoria,Waterkloof Ridge,6,6.5,2,,R 70 000
3 Bedroom House,Pritoria,Silverton,3,1.5,5,,R 10 500
5 Bedroom House,Pritoria,Waterkloof Heights,5,6,2,,R 57 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,1,,R 15 000
2 Bedroom Apartment,Pritoria,Brooklyn,3,1,2,,R 14 000
3 Bedroom Apartment,Pritoria,Mooikloof Glen,2,2,1,,R 11 000
2 Bedroom Apartment,Pritoria,Shere,3,2,6,,R 9 250
5 Bedroom House,Pritoria,Colbyn,2,1,2,,R 20 500
2 Bedroom Apartment,Pritoria,Menlyn,5,2,4,,R 40 000
3 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,,R 22 000
2 Bedroom Apartment,Pritoria,Hatfield,3,2.5,,,R 8 500
2 Bedroom Apartment,Pritoria,Hillcrest,2,1,1,49 m²,R 8 500
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,60 m²,R 10 200
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,60 m²,R 10 500
Apartment,Pritoria,Arcadia,1,1,1,39 m²,R 7 000
Apartment,Pritoria,Hatfield,2,1,1,80 m²,R 5 000
1 Bedroom Apartment,Pritoria,Monument Park,1,1,2,60 m²,R 7 250
2 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,60 m²,R 10 500
1 Bedroom Apartment,Pritoria,Waterkloof,3,2.5,1,110 m²,R 9 990
0.5 Bedroom Apartment,Pritoria,Arcadia,2,2,3,,R 4 160
3 Bedroom Townhouse,Pritoria,Olympus AH,2,2,1,,R 22 000
2 Bedroom Apartment,Pritoria,Sinoville,3,2.5,1,,R 10 500
2 Bedroom Apartment,Pritoria,Sinoville,2,1,2,,R 10 200
3 Bedroom House,Pritoria,Waterkloof,3,2,1,,R 45 000
2 Bedroom Apartment,Pritoria,Waterkloof,4,4,2,,R 17 990
3 Bedroom House,Pritoria,Wonderboom South,2,1,2,,R 16 500
4 Bedroom House,Pritoria,Brooklyn,1,1,2,,R 36 000
2 Bedroom Apartment,Pritoria,Florauna,3,2,1,,R 7 150
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,2,,R 9 990
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,1,,R 19 500
1 Bedroom Apartment,Pritoria,Hatfield,,,1,,R 5 000
3 Bedroom House,Pritoria,Roodepark Eco Estate,,,,,R 11 500
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,60 m²,R 10 200
2 Bedroom Apartment,Pritoria,Pretoriuspark,2,2,2,76 m²,R 9 500
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,77 m²,R 21 500
5 Bedroom House,Pritoria,Waterkloof Ridge,5,5,2,65 m²,R 65 000
3 Bedroom Townhouse,Pritoria,Montana Park,3,2,1,90 m²,R 12 375
1 Bedroom Apartment,Pritoria,Florauna,1,1,1,,R 6 000
3 Bedroom Townhouse,Pritoria,Constantia Park,3,2,2,,R 13 500
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 7 200
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,,R 13 000
4 Bedroom House,Pritoria,Waterkloof,4,3,3,,R 45 000
0.5 Bedroom Apartment,Pritoria,Pretoria West,0.5,1,1,,R 4 020
1 Bedroom Apartment,Pritoria,Waterkloof Ridge,1,1,1,,R 11 990
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 7 200
2 Bedroom Apartment,Pritoria,Equestria,2,2,2,,R 23 500
3 Bedroom Townhouse,Pritoria,Hazelwood,3,3.5,6,,R 50 000
2 Bedroom House,Pritoria,Danville,2,1,6,,R 6 000
6 Bedroom House,Pritoria,Faerie Glen,6,4.5,3,,R 4 400
5 Bedroom House,Pritoria,The Hills Game Reserve Estate,5,5,1,,R 44 995
2 Bedroom Apartment,Pritoria,Gezina,2,1,1,,R 7 000
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,,,R 9 500
3 Bedroom Townhouse,Pritoria,Montana,3,2,,,R 16 000
2 Bedroom Townhouse,Pritoria,Hazeldean,2,2,2,80 m²,R 10 500
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,64 m²,R 6 800
2 Bedroom Townhouse,Pritoria,Annlin,2,1,3,95 m²,R 8 600
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,96 m²,R 14 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,3,150 m²,R 19 900
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,3.5,2,64 m²,R 35 000
3 Bedroom House,Pritoria,Brooklyn,3,2.5,4,1 m²,R 30 000
3 Bedroom House,Pritoria,Muckleneuk,3,2,2,,R 16 000
3 Bedroom Townhouse,Pritoria,Garsfontein,3,1,2,,R 11 500
6 Bedroom House,Pritoria,Brooklyn,6,3,2,,R 4 500
3 Bedroom House,Pritoria,Andeon,3,2,1,,R 9 000
1 Bedroom Apartment,Pritoria,Brooklyn,1,2,2,,R 4 800
2 Bedroom Townhouse,Pritoria,The Wilds,2,2,2,,R 15 500
Apartment,Pritoria,Mayville,2,2,6,,R 5 800
2 Bedroom Apartment,Pritoria,Mooikloof Glen,4,3,1,,R 9 500
4 Bedroom House,Pritoria,Muckleneuk,1,1,1,,R 36 000
1 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 6 800
2 Bedroom Apartment,Pritoria,Pretoria West,2,1,,,R 7 500
2 Bedroom Apartment,Pritoria,Waterkloof,0.5,1,,,R 17 990
0.5 Bedroom Apartment,Pritoria,Montana,2,2,,,R 5 000
2 Bedroom Apartment,Pritoria,Sinoville,,,,,R 7 600
1 Bedroom Apartment,Pritoria,Kilner Park,1,1,1,182 m²,R 4 300
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,2,272 m²,R 22 000
3 Bedroom House,Pritoria,Hatfield,3,1,4,135 m²,R 5 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,63 m²,R 26 000
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,2,65 m²,R 6 570
3 Bedroom Townhouse,Pritoria,Sinoville,3,2,3,182 m²,R 10 400
2 Bedroom Townhouse,Pritoria,Garsfontein,2,2,6,64 m²,R 13 500
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,3,2,,R 40 000
3 Bedroom Apartment,Pritoria,Willow Park Manor,3,2,6,,R 26 000
2 Bedroom Apartment,Pritoria,Arcadia,2,1,2,,R 10 500
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,4.5,2,,R 65 000
1 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,1,1,1,,R 17 000
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,3,,R 22 000
2 Bedroom Apartment,Pritoria,Arcadia,2,1,6,,R 12 000
3 Bedroom Apartment,Pritoria,Pretoria Central,3,2,1,,R 3 800
4 Bedroom House,Pritoria,Waterkloof,4,3,2,,R 45 000
4 Bedroom House,Pritoria,Dorandia,4,2,1,,R 15 000
2 Bedroom Apartment,Pritoria,Waterkloof,2,1,1,,R 27 990
2 Bedroom House,Pritoria,Mountain View,2,1,,,R 6 050
0.5 Bedroom Apartment,Pritoria,Eloffsdal,0.5,1,,,R 3 900
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,,,R 12 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,64 m²,R 12 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,64 m²,R 12 000
2 Bedroom Apartment,Pritoria,Montana Park,2,2,2,162 m²,R 9 900
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,64 m²,R 15 500
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,1,60 m²,R 4 620
3 Bedroom House,Pritoria,Pretoria North,3,2,4,50 m²,R 13 560
2.5 Bedroom Apartment,Pritoria,Monument Park,2.5,1,1,,R 8 900
3 Bedroom Townhouse,Pritoria,Montana,3,2.5,2,,R 13 530
2 Bedroom Townhouse,Pritoria,Montana Park,2,1,1,,R 9 500
4 Bedroom House,Pritoria,Pretoria North,4,2,2,,R 11 500
2.5 Bedroom Apartment,Pritoria,Monument Park,2.5,1,1,,R 8 900
3 Bedroom Townhouse,Pritoria,Menlo Park,3,3.5,2,,R 25 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 7 950
0.5 Bedroom House,Pritoria,Monument Park,0.5,1,1,,R 6 250
1 Bedroom Apartment,Pritoria,Mayville,1,1,1,,R 5 600
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 7 950
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 8 500
1 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,1,1,2,,R 17 000
1.5 Bedroom Apartment,Pritoria,Silverton,1.5,1,2,,R 6 300
2 Bedroom Townhouse,Pritoria,La Montagne,2,1,1,,R 7 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 8 200
2 Bedroom House,Pritoria,Menlo Park,2,2.5,3,228 m²,R 28 000
Apartment,Pritoria,Arcadia,1,1,1,130 m²,R 8 300
1 Bedroom Apartment,Pritoria,Pretoria North,4,3.5,2,75 m²,R 4 800
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,1,1,1,76 m²,R 55 000
1 Bedroom House,Pritoria,Mooikloof Equestrian Estate,2,2,2,,R 5 500
2 Bedroom Apartment,Pritoria,Lynnwood,4,2,6,,R 14 000
4 Bedroom House,Pritoria,Mountain View,4,2,2,,R 26 500
4 Bedroom Apartment,Pritoria,Brooklyn,2,1,1,,R 3 900
2 Bedroom Apartment,Pritoria,Montana,4,2.5,3,,R 7 500
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,1,1,,R 55 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,2,,R 7 150
2 Bedroom Apartment,Pritoria,Montana,3,2,4,,R 8 400
3 Bedroom House,Pritoria,Pretoria North,2,1,3,,R 12 000
2 Bedroom Apartment,Pritoria,Gezina,4,2.5,1,,R 6 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,0.5,1,2,,R 55 000
0.5 Bedroom House,Pritoria,Pretoria Central,3,2.5,6,,R 2 950
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,4,,R 22 000
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,7,4,2,,R 36 000
7 Bedroom House,Pritoria,Elarduspark,3,2,2,,R 45 000
3 Bedroom House,Pritoria,Pretoria North,2,2,,,R 11 000
2 Bedroom Apartment,Pritoria,Lynnwood Glen,,,,,R 12 750
2 Bedroom Apartment,Pritoria,Waterkloof,2,1,1,71 m²,R 17 990
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,40 m²,R 8 200
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,1 m²,R 4 830
5 Bedroom House,Pritoria,Waterkloof,5,4.5,2,64 m²,R 55 000
4 Bedroom House,Pritoria,Murrayfield,4,3,4,90 m²,R 21 000
2 Bedroom Apartment,Pritoria,Equestria,2,1,2,,R 10 500
3 Bedroom Townhouse,Pritoria,Waterkloof Heights,3,2,1,,R 20 000
2 Bedroom Apartment,Pritoria,Lynnwood Manor,2,1,4,,R 9 000
4 Bedroom House,Pritoria,Murrayfield,4,3,1,,R 21 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,2,,R 5 750
3 Bedroom Apartment,Pritoria,Sinoville,3,2.5,4,,R 20 000
6 Bedroom House,Pritoria,Faerie Glen,6,4.5,1,,R 36 000
1 Bedroom House,Pritoria,Roodeplaat,1,1,1,,R 6 250
2 Bedroom Apartment,Pritoria,Daspoort,2,1,1,,R 6 400
1 Bedroom Apartment,Pritoria,Hazeldean,1,1,2,,R 10 000
3 Bedroom House,Pritoria,Waterkloof,3,1,4,,R 9 500
5 Bedroom House,Pritoria,Roodeplaat,5,4,4,,R 39 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,2,,R 15 000
1 Bedroom Apartment,Pritoria,Rynoue,1,1,,,R 5 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,4,,,R 85 000
1 Bedroom House,Pritoria,Hazelwood,1,1,,,R 4 900
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,2,202 m²,R 22 000
2 Bedroom Apartment,Pritoria,Six Fountains Residential Estate,2,2,2,85 m²,R 15 000
3 Bedroom Apartment,Pritoria,Sinoville,3,1.5,2,88 m²,R 7 900
4 Bedroom Apartment,Pritoria,Sunnyside,4,1,2,147 m²,R 9 800
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3.5,1,147 m²,R 40 000
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,60 m²,R 13 000
2 Bedroom Apartment,Pritoria,Dorandia,2,1,2,1 000 m²,R 7 600
2 Bedroom Apartment,Pritoria,Roodeplaat,2,1,1,,R 7 500
3 Bedroom Townhouse,Pritoria,Waterkloof,3,2.5,1,,R 20 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,,R 7 150
1 Bedroom Apartment,Pritoria,Hatfield,1,1,2,,R 5 900
3 Bedroom Townhouse,Pritoria,Waterkloof,3,2.5,1,,R 20 000
3 Bedroom House,Pritoria,Olympus AH,3,2,1,,R 17 500
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,6,,R 15 990
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,4,,R 6 300
1 Bedroom House,Pritoria,Eastwood,1,1,1,,R 10 500
6 Bedroom House,Pritoria,Waterkloof Ridge,6,6.5,1,,R 65 000
3 Bedroom Townhouse,Pritoria,Monument Park,3,2,1,,R 22 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,,,R 10 200
1 Bedroom Apartment,Pritoria,Wonderboom South,1,1,,,R 5 150
2 Bedroom Apartment,Pritoria,Hatfield,2,1,,,R 8 978
2 Bedroom House,Pritoria,Rietfontein,2,1,1,1 m²,R 6 500
2 Bedroom Apartment,Pritoria,Sinoville,2,2,4,92 m²,R 10 400
2 Bedroom Apartment,Pritoria,Menlyn,2,2,1,60 m²,R 28 000
1 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,1,1,4,71 m²,R 7 250
1 Bedroom Apartment,Pritoria,Willow Park Manor,1,1,1,58 m²,R 10 500
3 Bedroom House,Pritoria,Strubenkop Security Village,3,3,1,131 m²,R 32 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,1 m²,R 10 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,3,197 m²,R 10 000
2 Bedroom Apartment,Pritoria,Waverley,2,2,2,131 m²,R 11 000
4 Bedroom House,Pritoria,Hatfield,4,4,1,,R 6 500
2 Bedroom Apartment,Pritoria,Waverley,2,1,1,,R 9 750
6 Bedroom House,Pritoria,Brooklyn,6,3.5,4,,R 3 950
3 Bedroom House,Pritoria,Nieuw Muckleneuk,3,2,2,,R 40 000
1 Bedroom House,Pritoria,Mountain View,1,1,1,,R 5 900
2 Bedroom Apartment,Pritoria,Hatfield,2,1,4,,R 9 765
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,2,,R 10 990
3 Bedroom Townhouse,Pritoria,Equestria,3,2.5,,,R 20 000
3 Bedroom Townhouse,Pritoria,Equestria,3,2,,,R 14 300
2 Bedroom Apartment,Pritoria,Sunnyside,2,1,,,R 7 250
4 Bedroom Townhouse,Pritoria,Ashlea Gardens,4,2.5,,,R 18 900
3 Bedroom Townhouse,Pritoria,Equestria,3,2,,,R 14 300
2 Bedroom Apartment,Pritoria,Hillcrest,2,1,1,80 m²,R 8 600
1 Bedroom Apartment,Pritoria,Muckleneuk,1,1,1,31 m²,R 5 000
2 Bedroom Apartment,Pritoria,Lynnwood Glen,2,1,2,20 m²,R 20 000
Apartment,Pritoria,Brooklyn,1,1,1,138 m²,R 13 000
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,,R 5 000
1 Bedroom Apartment,Pritoria,Arcadia,2,1,1,,R 5 200
2 Bedroom Apartment,Pritoria,Mountain View,2,1,1,,R 6 300
2 Bedroom Townhouse,Pritoria,Silver Lakes,4,2,3,,R 9 400
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,3.5,2,,R 48 000
2 Bedroom Apartment,Pritoria,Olympus AH,1,2,2,,R 14 500
1 Bedroom Apartment,Pritoria,Rietvalleirand,4,1,1,,R 4 750
4 Bedroom House,Pritoria,Montana Tuine,4,2,2,,R 14 000
4 Bedroom House,Pritoria,Monument Park,3,2,6,,R 26 000
3 Bedroom House,Pritoria,Pretoria Gardens,1,1,2,,R 9 600
1 Bedroom House,Pritoria,Mooikloof,4,1,1,,R 6 500
4 Bedroom House,Pritoria,Montana Tuine,4,2,2,,R 14 000
4 Bedroom House,Pritoria,Waterkloof Ridge,2,3.5,7,,R 74 500
2 Bedroom Apartment,Pritoria,Mountain View,5,1,1,,R 6 300
5 Bedroom House,Pritoria,Waterkloof,4,4.5,3,,R 100 000
4 Bedroom House,Pritoria,Waterkloof,2,3.5,5,,R 70 000
2 Bedroom Townhouse,Pritoria,Hazelwood,,2,4,,R 14 500
4 Bedroom House,Pritoria,Groenkloof,4,2,3,34 m²,R 25 000
1 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,1,2.5,1,106 m²,R 13 800
3 Bedroom House,Pritoria,Woodhill Golf Estate,3,3,7,70 m²,R 40 000
2 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,2,3,1,195 m²,R 35 000
4 Bedroom House,Pritoria,Erasmusrand,4,1,3,,R 25 000
1 Bedroom House,Pritoria,Mayville,1,1,1,,R 5 900
Apartment,Pritoria,Lotus Gardens,2,1,2,,R 4 000
2 Bedroom Apartment,Pritoria,Newlands,2,1,1,,R 9 500
Apartment,Pritoria,Capital Park,1,1,2,,R 3 940
2 Bedroom House,Pritoria,Equestria,3,1,1,,R 11 800
1 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,2,1,1,,R 12 000
Apartment,Pritoria,Colbyn,1,2,2,,R 7 900
3 Bedroom Townhouse,Pritoria,Florauna,2,1.5,2,,R 9 500
2 Bedroom Townhouse,Pritoria,Menlo Park,3,1,1,,R 19 500
1 Bedroom Apartment,Pritoria,Sunnyside,5,1,2,,R 4 300
2 Bedroom Apartment,Pritoria,Newlands,2,2,2,,R 9 500
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,1,4,,R 25 000
Apartment,Pritoria,Sunnyside,,3,2,,R 2 650
5 Bedroom House,Pritoria,Faerie Glen,,2,2,,R 25 500
2 Bedroom Apartment,Pritoria,Brooklyn,,2,,,R 16 000
